Type, Value, Quantity, Info
capacitor, 47pf, 1, 5% ceramic
capacitor, 1.5nf, 1, 63v polyester
capacitor, 10nf, 1, 63v polyester
capacitor, 100nf, 10, ceramic
capacitor, 10uf, 3, 35v electrolytic
connector, 8-pin, 4, ic socket
connector, 14-pin, 2, ic socket
diode, 1n4148, 9,
chip, lm358, 2, dual opamp
chip, tl072, 2, dual jfet opamp
inductor, 0.45uh, 2, 7A ferrite bead
chip, cd4024, 1, 7-stage binary counter
chip, cd40106, 1, hex schmitt trigger
resistor, 10r, 2, 1% 0.5w metal film
resistor, 1k0, 7, 1% 0.5w metal film
resistor, 2k2, 1, 1% 0.5w metal film
resistor, 6k8, 2, 1% 0.5w metal film
resistor, 10k, 12, 1% 0.5w metal film
resistor, 47k, 1, 1% 0.5w metal film
resistor, 100k, 18, 1% 0.5w metal film
resistor, 200k, 8, 1% 0.5w metal film
resistor, 220k, 1, 1% 0.5w metal film
resistor, 1m0, 1, 1% 0.5w metal film
transistor, bc547b, 2, npn transistor
trimpot, 2k, 1, 1tv
trimpot, 50k, 1, 1tv
