Type, Value, Quantity, Info
capacitor, 47pf, 4, 5% ceramic
capacitor, 100nf, 4, ceramic
capacitor, 100nf, 3, 63v polyester
capacitor, 10uf, 2, 35v electrolytic
connector, 8-pin, 3, ic socket
chip, tl072, 2, dual jfet opamp
inductor, 0.45uh, 2, 7A ferrite bead
resistor, 220r, 2, 1% 0.5w metal film
resistor, 330r, 1, 1% 0.5w metal film
resistor, 47k, 2, 1% 0.5w metal film
resistor, 100k, 12, 1% 0.5w metal film
resistor, 130k, 2, 1% 0.5w metal film
resistor, 220k, 1, 1% 0.5w metal film
resistor, 360k, 1, 1% 0.5w metal film
resistor, 1m0, 1, 1% 0.5w metal film
transistor, bc558b, 1, pnp transistor
transistor, bc548b, 3, npn transistor matched set
transistor, bc547, 2, npn transistor matched set
trimpot, 5k, 1, 25tv cermet
trimpot, 100k, 2, 20tv cermet
