type, value, quantity, info,
capacitor, 47pf, 8, 5% ceramic,
capacitor, 10nf, 4, 63v polyester,
capacitor, 100nf, 10, ceramic,
capacitor, 10uf, 2, 35v electrolytic,
connector, 8-pin, 5, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
diode, 1n4148, 2,,
chip, tl072, 4, dual jfet opamp,
chip, lm393, 1, dual comparator,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, 330r, 4, 1% 0.5w metal film,
resistor, 1k0, 4, 1% 0.5w metal film,
resistor, 1k3, 1, 1% 0.5w metal film,
resistor, 2k0, 1, 1% 0.5w metal film,
resistor, 2k2, 2, 1% 0.5w metal film,
resistor, 10k, 4, 1% 0.5w metal film,
resistor, 22k, 1, 1% 0.5w metal film,
resistor, 33k, 1, 1% 0.5w metal film,
resistor, 47k, 9, 1% 0.5w metal film,
resistor, 100k, 13, 1% 0.5w metal film,
resistor, 150k, 1, 1% 0.5w metal film,
resistor, 220k, 2, 1% 0.5w metal film,
resistor, 470k, 3, 1% 0.5w metal film,
resistor, 1m0, 1, 1% 0.5w metal film,
transistor, bc557b, 2, pnp transistor,
transistor, bc547b, 3, npn transistor,
socket, yellow banana socket, 2,,
socket, green banana socket, 4,,
socket, red banana socket, 2,,
