type, value, quantity, info,
capacitor, 100nf, 2, 5% ceramic X7R,
capacitor, 10uf, 2, 50v electrolytic,
connector, 8-pin, 1, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
diode, 1n4148, 11,,
chip, tl072, 1, dual jfet opamp,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, 1k0, 10, 1% 0.5w metal film,
resistor, 1k5, 7, 1% 0.5w metal film,
resistor, 4k7, 5, 1% 0.5w metal film,
resistor, 10k, 4, 1% 0.5w metal film,
resistor, 100k, 12, 1% 0.5w metal film,
transistor, bc547b, 4, npn transistor,
transistor, bc557b, 2, npn transistor,
socket, yellow banana socket, 7,
socket, red banana socket, 3,
led, yellow led, 3,,
led, yellow led lense, 3,,
