type, value, quantity, info,notes,
socket, white banana socket, 6,,
socket, yellow banana socket, 1,,
socket, blue banana socket, 1,,
socket, red banana socket, 1,,
socket, green banana socket, 1,,
led, 5mm low current, 1,yellow,maybe bicolour LEDs?,
led, 5mm fresnel lense, 1,yellow,use clear if using bicolour?,
led, 5mm lense mounting spacer, 1,,,
potentiometer, 50k linear, 2,,
hardware, serge 1900h knob, 2,,
switch, spst push button - momentary on, 1,,
switch, push button dress nut, 1,,
switch, push button cap, 1,red,
