type,value,info,order code,
capacitor,10pf,5% ceramic,810-FG28C0G1H100DNT6 ,
capacitor,18pf,5% ceramic,810-FG28C0G1H180JNT6 ,
capacitor,22pf,5% ceramic,810-FG28C0G1H220JNT0 ,
capacitor,47pf,5% ceramic,810-FG28C0G1H470JNT6 ,
capacitor,68pf,5% ceramic,810-FG28C0G1H680JNT0 ,
capacitor,82pf,5% ceramic,810-FG28C0G1H820JNT6 ,
capacitor,100pf,5% ceramic,810-FG28C0G1H101JNT0 ,
capacitor,220pf,5% ceramic,810-FG28C0G1H221JNT6 ,
capacitor,220pf,5% polystyrene,23PS122 ,
capacitor,330pf,5% ceramic,810-FG28C0G1H331JNT0 ,
capacitor,470pf,5% ceramic,810-FG28C0G1H471JNT0 ,
capacitor,1nf,5% ceramic,810-FG28C0G1H102JNT6,
capacitor,1nf,63v polyester,80-R82EC1100AA50J ,
capacitor,1n5f,63v polyester,80-R82EC1150AA50J ,
capacitor,2n2f,63v polyester,80-R82EC1220Z350J,
capacitor,2n2f,5% polystyrene,23PS222 ,
capacitor,4n7,63v polyester,80-R82EC1470AA50J ,
capacitor,5n6,63v polyester,80-R82EC1560AA50J ,
capacitor,10nf,5% ceramic,810-FG28C0G1H103JNT0 ,
capacitor,10nf,63v polyester,80-R82EC2100AA50J ,
capacitor,22nf,63v polyester,80-R82EC2220AA50J ,
capacitor,47nf,63v polyester,80-R82EC2470Z360J ,
capacitor,100nf,5% ceramic,810-FG26C0G1H104JNT0 ,
capacitor,100nf,10% ceramic X7R,594-K104K15X7RF53K2 ,
capacitor,100nf,63v polyester,80-R82EC3100AA70J ,
capacitor,220nf,5% ceramic,810-FG22C0G1H224JNT6 ,
capacitor,220nf,63v polyester,80-R82EC3220AA70J ,
capacitor,1uf,50v tantalum,581-TAP105K050BRW ,
capacitor,1uf,50v electrolytic,647-UVR2C010MED1TA,
capacitor,4u7f,50v electrolytic,647-UMW1H4R7MDD ,
capacitor,10uf,50v electrolytic,647-USA1H100MDD ,
capacitor,22uf,50v electrolytic,647-UMW1H220MDD1TP ,
capacitor,47uf,50v electrolytic,647-UKT1H470MED1TD ,
resistor,10r,1% 0.5w metal film,603-MFR50SFTE52-10R ,
resistor,62r,1% 0.25w metal film 15ppm,279-YR1B61R9CC ,
resistor,100r,1% 0.5w metal film,603-MFR50SFTE52-100R ,
resistor,220r,1% 0.5w metal film,603-MFR50SFTE52-220R ,
resistor,240r,1% 0.5w metal film,603-MFR50SFTE52-240R ,
resistor,330r,1% 0.5w metal film,603-MFR50SFTE52-330R ,
resistor,470r,1% 0.5w metal film,603-MFR-50SFRF52470R ,
resistor,680r,1% 0.5w metal film,603-MFR50SFTE52-680R ,
resistor,820r,1% 0.5w metal film,603-MFR50SFTE52-820R ,
resistor,1k0,1% 0.5w metal film,603-MFR50SFTE52-1K ,
resistor,1k2,1% 0.5w metal film,603-MFR50SFTE52-1K2 ,
resistor,1k3,1% 0.5w metal film,603-MFR50SFTE52-1K3 ,
resistor,1k5,1% 0.5w metal film,603-MFR50SFTE52-1K5 ,
resistor,1k8,1% 0.5w metal film,603-MFR50SFTE52-1K8 ,
resistor,2k0,1% 0.5w metal film,603-MFR50SFTE52-2K ,
resistor,2k1,1% 0.5w metal film,71-CMF552K1000FKEK ,
resistor,2k2,1% 0.5w metal film,603-MFR50SFTE52-2K2 ,
resistor,3k3,1% 0.5w metal film,603-MFR50SFTE52-3K3 ,
resistor,3k9,1% 0.5w metal film,603-MFR50SFTE52-3K9 ,
